-test.shuffle 1711849264447258494
goos: linux
goarch: amd64
pkg: github.com/speedyhoon/jay/bench/uint16s
cpu: Intel(R) Core(TM)2 Duo CPU     T6400  @ 2.00GHz
BenchmarkReadUint16sUnsafe2-2   	18265357	        55.31 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21234828	        56.06 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	20901247	        53.74 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21874554	        54.71 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	18101144	        55.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21310968	        56.49 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21312712	        57.53 ns/op	       8 B/op	       1 allocs/op
BenchmarkReadUint16sUnsafe2-2   	21024210	        56.75 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	github.com/speedyhoon/jay/bench/uint16s	219.806s
